customer_id,amount
1000,19.99
1001,19.99
1002,19.99
1003,19.99
1004,19.99
1005,19.99
1006,19.99
1007,19.99
1008,19.99
1009,19.99
1010,19.99
1011,19.99
1012,19.99
1013,19.99
1014,19.99
1015,19.99
1016,19.99
1017,19.99
1018,19.99
1019,19.99
1020,19.99
1021,19.99
1022,19.99
1023,19.99
1024,19.99
1025,19.99
1026,19.99
1027,19.99
1028,19.99
1029,19.99
1030,19.99
1031,19.99
1032,19.99
1033,19.99
1034,19.99
1035,19.99
1036,19.99
1037,19.99
1038,19.99
1039,19.99
1040,19.99
1041,19.99
1042,19.99
1043,19.99
1044,19.99
1045,19.99
1046,19.99
1047,19.99
1048,19.99
1049,19.99
1050,19.99
1051,19.99
1052,19.99
1053,19.99
000999,unknown
